epoch,accuracy,loss,val_accuracy,val_loss
0,0.4724605679512024,1.2107410430908203,0.5389049053192139,1.1461350917816162
1,0.6396346688270569,0.8569279909133911,0.5734870433807373,1.1065435409545898
2,0.7340160608291626,0.6805317997932434,0.5417867302894592,1.239344835281372
3,0.7938001751899719,0.560724139213562,0.5878962278366089,1.2268550395965576
4,0.8367007970809937,0.4430515766143799,0.5619596838951111,1.3131033182144165
5,0.8704677820205688,0.3679310977458954,0.590778112411499,1.371180772781372
6,0.8928868174552917,0.3098068833351135,0.579250693321228,1.3679113388061523
7,0.9144755005836487,0.2452477216720581,0.590778112411499,1.5340420007705688
8,0.9269305467605591,0.2197805494070053,0.5475504398345947,1.712140440940857
9,0.9225021004676819,0.21909399330615997,0.5878962278366089,1.6995676755905151
10,0.9382784366607666,0.18415945768356323,0.5619596838951111,1.8762325048446655
11,0.9399390816688538,0.1755254715681076,0.6051872968673706,1.8672696352005005
12,0.950179934501648,0.14326049387454987,0.590778112411499,1.9424819946289062
13,0.9601439237594604,0.1253719925880432,0.579250693321228,1.87417471408844
14,0.9670633673667908,0.11101739853620529,0.5273775458335876,2.199420928955078
15,0.9551619291305542,0.13214696943759918,0.5648415088653564,2.045974016189575
16,0.971491813659668,0.09018418192863464,0.5734870433807373,2.1777849197387695
17,0.9548851251602173,0.13150830566883087,0.5561959743499756,2.34555983543396
18,0.9562690258026123,0.1279098093509674,0.5821325778961182,2.1303164958953857
19,0.9645723700523376,0.09997230768203735,0.5763688683509827,2.2954492568969727
20,0.9667866230010986,0.10508991032838821,0.590778112411499,2.1517069339752197
21,0.9701079726219177,0.09563076496124268,0.5965417623519897,2.261521577835083
22,0.977027416229248,0.08086913079023361,0.590778112411499,2.242546796798706
23,0.9676169157028198,0.09180247783660889,0.5878962278366089,2.1966707706451416
24,0.9761970639228821,0.06854357570409775,0.5850144028663635,2.414351463317871
