epoch,accuracy,loss,val_accuracy,val_loss
0,0.3772488236427307,1.3242813348770142,0.4121037423610687,1.2757151126861572
1,0.666482150554657,0.9732025861740112,0.6714697480201721,0.9004111886024475
2,0.8045945167541504,0.5668111443519592,0.6829971075057983,0.7635595798492432
3,0.8516468405723572,0.4102664887905121,0.6916426420211792,0.780674397945404
4,0.8768336772918701,0.3319111168384552,0.6829971075057983,0.8380649089813232
5,0.9034043550491333,0.269624263048172,0.6685879230499268,0.9139073491096497
6,0.9225021004676819,0.2277878373861313,0.6657060384750366,0.9522283673286438
7,0.9396623373031616,0.18835817277431488,0.6714697480201721,0.9914324879646301
8,0.948519229888916,0.16632862389087677,0.6657060384750366,1.0411897897720337
9,0.9584832787513733,0.14389637112617493,0.6657060384750366,1.086682915687561
10,0.9623581767082214,0.12889043986797333,0.6743515729904175,1.1712915897369385
11,0.9659562706947327,0.11228183656930923,0.6657060384750366,1.2643893957138062
12,0.9701079726219177,0.10552184283733368,0.6685879230499268,1.2594788074493408
13,0.9706615209579468,0.09761850535869598,0.6570605039596558,1.3410226106643677
14,0.9712150692939758,0.09391884505748749,0.651296854019165,1.3937982320785522
15,0.9753667116165161,0.08149171620607376,0.6657060384750366,1.3912452459335327
16,0.9731525182723999,0.08422750234603882,0.6743515729904175,1.4272525310516357
17,0.9731525182723999,0.08405512571334839,0.6570605039596558,1.4851728677749634
18,0.9761970639228821,0.07707375288009644,0.6628242135047913,1.4965996742248535
19,0.976473867893219,0.07045750319957733,0.6657060384750366,1.5286383628845215
20,0.9767506122589111,0.06900497525930405,0.6541786789894104,1.5408525466918945
21,0.9778577089309692,0.0708799958229065,0.6685879230499268,1.5213897228240967
22,0.9786880612373352,0.06500253826379776,0.6657060384750366,1.5604768991470337
23,0.9786880612373352,0.060413166880607605,0.6541786789894104,1.5880115032196045
24,0.977027416229248,0.060669492930173874,0.651296854019165,1.6747361421585083
